time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003625,0.1168,-0.1914,-0.6595,0.697
0.004221,0.3762,-0.0645,-0.4206,0.568
0.007585,0.4511,0.0623,-0.2336,0.512
0.015398,0.3548,0.1931,-0.0941,0.415
0.023351,0.1357,0.0860,-0.0430,0.166
0.030739,-0.0671,-0.3570,0.3374,0.496
0.038616,0.4040,-0.1296,0.3833,0.572
0.047049,0.0953,-0.0363,-0.2331,0.254
0.054386,0.2420,-0.4769,-0.5838,0.792
0.062961,-0.2910,-0.3429,-0.6973,0.830
0.070524,-0.6067,0.0219,-0.8511,1.045
0.078514,-0.2267,0.0767,-0.6842,0.725
0.095264,0.0272,0.0134,-0.0212,0.037
0.096805,0.3775,0.0130,0.4917,0.620
0.102992,0.4341,0.0080,0.6977,0.822
0.110949,0.1836,-0.0130,0.8895,0.908
0.120505,0.3301,-0.1697,1.2849,1.337
0.126240,0.1350,0.0501,1.2776,1.286
0.136089,-0.1583,0.2777,0.9660,1.018
0.142246,0.0283,0.2650,0.7684,0.813
0.150869,0.0761,0.1861,0.5833,0.617
0.158434,0.0762,0.1126,0.1324,0.190
0.166895,0.0238,0.0499,-0.5051,0.508
0.179320,0.0855,-0.0898,-1.1951,1.202
0.182766,0.0509,-0.0712,-1.2645,1.267
0.190961,-0.2854,-0.1128,-0.9742,1.021
0.198764,-0.4219,-0.0900,-0.5286,0.682
0.207300,-0.4103,-0.0671,-0.2008,0.462
0.214842,-0.6485,-0.0753,0.0560,0.655
0.222342,-0.5085,-0.0204,0.2267,0.557
0.230382,-0.3488,0.0852,0.0671,0.365
0.238628,-0.4582,0.1049,0.0097,0.470
0.246914,-0.5371,0.0749,0.0951,0.551
0.254281,-0.3007,0.1054,0.0859,0.330
0.262291,-0.0722,0.0615,-0.0297,0.099
0.270190,-0.0003,0.0608,-0.1668,0.178
0.278188,0.0643,-0.0714,-0.2064,0.228
0.293803,0.0797,-0.2048,-0.2127,0.306
0.295021,0.0590,-0.2299,-0.1707,0.292
0.301900,0.0194,-0.3958,-0.1059,0.410
0.310164,0.1035,-0.4217,-0.2873,0.521
0.319440,0.2413,-0.3401,-0.4134,0.587
0.326152,0.1499,-0.4024,-0.3761,0.571
0.334986,-0.0333,-0.4328,-0.4992,0.662
0.342093,-0.0276,-0.3867,-0.5454,0.669
0.350717,0.1309,-0.2658,-0.3083,0.428
0.358999,0.1591,-0.1070,0.0124,0.192
0.365960,0.2509,0.0850,0.1613,0.310
0.379688,0.1550,0.1325,0.1758,0.269
0.381860,-0.1468,0.1082,0.1363,0.228
0.390036,-0.2397,0.1446,0.0804,0.291
0.398110,-0.2951,-0.0876,0.0612,0.314
0.405936,-0.5362,-0.3607,-0.2611,0.697
0.414728,-0.7583,-0.4033,-0.6774,1.094
0.422261,-0.7909,-0.4038,-1.0279,1.358
0.430597,-0.6367,-0.4166,-1.3379,1.539
0.438556,-0.3865,-0.5019,-1.4874,1.617
0.446864,-0.1434,-0.5020,-1.1986,1.307
0.454911,-0.0078,-0.5854,-0.6275,0.858
0.462218,0.1643,-0.6763,-0.1920,0.722
0.470643,0.2549,-0.6895,0.0045,0.735
0.478624,0.2076,-0.7093,0.1854,0.762
0.488841,0.1077,-0.7830,0.3459,0.863
0.494765,0.1078,-0.7927,0.5454,0.968
0.506898,0.0525,-0.6571,0.9343,1.143
0.510045,0.0418,-0.5770,1.2573,1.384
0.518051,0.1953,-0.5764,1.3369,1.469
0.526658,0.1886,-0.6559,1.1160,1.308
0.534178,0.1369,-0.8393,0.9506,1.275
0.542317,0.1973,-1.0327,0.9118,1.392
0.550448,0.2076,-1.0706,0.8025,1.354
0.558234,-0.0159,-0.8824,0.9012,1.261
0.565677,-0.2430,-0.7109,0.8932,1.167
0.573870,-0.0600,-0.8271,0.6877,1.077
0.582500,0.2715,-1.0417,0.5652,1.216
0.593828,0.5275,-1.0708,0.5801,1.327
0.598395,0.7816,-1.0137,0.7109,1.464
0.605787,0.8271,-0.9009,0.9251,1.533
0.613686,0.6863,-0.9728,1.0480,1.586
0.621622,0.7646,-1.0690,0.9356,1.613
0.629907,0.8132,-0.8519,0.6936,1.367
0.639157,0.6301,-0.3745,0.5721,0.930
0.645608,0.3337,-0.1267,0.2226,0.421
0.654430,0.3334,0.0635,-0.0007,0.339
0.662011,0.2786,0.1722,0.2353,0.403
0.670582,0.4401,0.0217,0.6326,0.771
0.678215,0.5364,-0.2857,1.3857,1.513
0.687640,0.3395,-0.8427,1.9665,2.166
0.694117,-0.0073,-1.3671,2.1188,2.522
0.703516,-0.2389,-1.4869,1.9238,2.443
0.710496,-0.0125,-1.4355,1.3845,1.994
0.718666,0.2753,-1.2535,0.6795,1.452
0.725802,0.1257,-1.1234,0.2674,1.162
0.735150,0.3715,-0.8015,-0.1843,0.902
0.741650,0.6171,-0.6363,-0.5074,1.021
0.750397,0.4454,-0.5831,-0.4283,0.850
0.758106,0.2744,-0.7760,-0.3100,0.880
0.766317,0.1611,-0.9933,-0.4426,1.099
0.773802,0.1557,-0.9027,-0.4959,1.042
0.781600,0.1882,-0.7812,-0.4656,0.929
0.790671,-0.0241,-0.8324,-0.1854,0.853
0.797984,0.0343,-1.0080,-0.0376,1.009
0.810165,0.1019,-1.1270,0.1365,1.140
0.813797,-0.1181,-1.1347,0.2823,1.175
0.821585,-0.4765,-1.1869,0.3154,1.317
0.829614,-0.4441,-1.4296,0.3117,1.529
0.838511,-0.3048,-1.4683,0.5087,1.584
0.845589,-0.5690,-1.2593,0.8044,1.599
0.854154,-0.7437,-1.1513,0.6976,1.538
0.862305,-0.6718,-1.5465,0.7518,1.846
0.870460,-1.2557,-0.8885,0.8386,1.752
0.878836,-1.2532,-0.9054,0.7498,1.718
0.888628,-1.1453,-1.1818,0.7712,1.817
0.893907,-0.7810,-1.0631,1.2125,1.792
0.903724,-0.7970,-1.1278,1.4225,1.983
0.909570,-1.1352,-0.9371,1.4658,2.077
0.917723,-1.4763,-0.7455,1.5317,2.254
0.925985,-1.4199,-0.4521,1.5095,2.121
0.933855,-0.7697,-0.6767,1.1549,1.544
0.941660,-1.8689,-0.9867,1.9687,2.888
0.949698,-2.4161,-0.9475,3.6702,4.495
0.958038,-1.6310,-1.0994,4.2739,4.705
0.966395,-0.6914,-0.9042,2.2049,2.481
0.974424,-0.8391,-0.0608,0.7122,1.102
0.981130,-0.6204,0.1615,1.0441,1.225
0.989790,-0.8369,1.3505,1.2265,2.007
0.998019,0.9194,0.7538,-0.2030,1.206
1.005680,3.1278,-0.2256,-1.2509,3.376
1.013259,5.2258,-0.9951,-2.2769,5.787
1.021360,9.1277,-3.4574,-3.3719,10.327
1.029325,7.6968,-3.7337,-2.9887,9.062
1.037933,5.3461,-3.8266,-1.5522,6.755
1.045252,3.1094,-2.4729,-0.4225,3.995
1.053073,0.7653,-1.0398,0.9697,1.615
1.061262,0.2600,-1.3420,2.3458,2.715
1.069013,-1.8434,-1.3285,3.5231,4.192
1.077706,-4.1888,-2.1102,3.6393,5.937
1.087540,-5.3593,-1.7514,2.9224,6.351
1.093240,-5.8557,0.8167,2.7320,6.513
1.101997,-5.7763,3.0235,2.7567,7.079
1.109865,-5.2752,4.6562,2.1617,7.361
1.117565,-5.7154,5.3372,1.2514,7.919
1.125170,-5.0354,5.7885,0.4451,7.685
1.134973,-5.2561,5.5867,0.0808,7.671
1.141685,-4.1235,5.1587,-0.3966,6.616
1.149133,-2.6697,4.4092,-0.8765,5.228
1.157196,-1.8263,3.4426,-1.2312,4.087
1.165143,-1.2030,2.3399,-1.4646,3.011
1.173732,-0.9425,1.5271,-1.4564,2.311
1.181722,-0.8321,1.1020,-1.4197,1.981
1.189977,-0.2828,0.9257,-1.1014,1.466
1.197168,0.9010,0.8349,-0.6851,1.406
1.206154,2.0111,0.2235,-0.1476,2.029
1.213472,2.1375,-0.0354,0.4372,2.182
1.221282,1.6309,-0.3207,0.8237,1.855
1.229333,1.3409,-0.5181,1.0125,1.758
1.237789,1.3513,-0.5916,1.2168,1.912
1.244946,1.2441,-0.5319,1.2222,1.823
1.253735,1.1019,-0.3412,1.1528,1.631
1.261070,0.9377,-0.0577,0.9381,1.328
1.269708,1.2559,-0.0401,0.6723,1.425
1.277417,0.9733,0.0328,0.5336,1.110
1.287809,0.2753,-0.0473,0.4689,0.546
1.293705,-0.6095,-0.7382,0.1009,0.963
1.307659,1.8162,-3.9857,-1.1515,4.529
1.309788,2.3977,-4.0060,-1.1307,4.804
1.317652,1.2523,-3.1521,-0.2790,3.403
1.325812,-0.3083,-1.7242,0.0926,1.754
1.334843,-0.9881,-0.6236,0.0633,1.170
1.340976,-0.9500,0.2143,-0.2290,1.000
1.349571,-0.9199,1.1106,-0.4646,1.515
1.356907,-0.3408,1.4980,-0.5475,1.631
1.367257,-0.2978,2.0306,-0.7341,2.180
1.372763,-0.2691,2.4883,-0.9225,2.667
1.380867,0.1764,2.6691,-1.0787,2.884
1.388860,0.3630,2.2224,0.1654,2.258
1.396614,0.2541,1.4217,0.4722,1.519
1.405012,-0.0773,0.8742,1.1931,1.481
1.412762,-0.6832,0.7532,1.2663,1.624
1.422048,-1.0972,0.3684,0.9259,1.482
1.428906,-1.3588,-0.0068,0.7534,1.554
1.436867,-1.4138,-0.0771,0.5278,1.511
1.444815,-1.1934,-0.1198,0.2680,1.229
1.453200,-0.6950,-0.1388,0.4243,0.826
1.460858,-0.4110,-0.2658,0.8656,0.994
1.468478,-0.2968,-0.3576,1.0410,1.140
1.477002,-0.3071,-0.4891,1.0470,1.196
1.487916,-0.6734,-0.5023,0.8673,1.207
1.492958,-0.9242,-0.5698,0.7834,1.339
1.503087,-0.4261,-0.4617,0.6595,0.911
1.508895,-0.3126,-0.3690,0.5763,0.752
1.517367,-0.2206,-0.3557,0.5062,0.657
1.524555,0.0867,-0.4434,0.2930,0.539
1.533629,0.5661,-0.6080,-0.0301,0.831
1.540861,1.0461,-0.4968,-0.3014,1.197
1.548479,1.2525,-0.3441,-0.5321,1.404
1.557552,0.8252,-0.1805,-0.6750,1.081
1.564630,0.3379,-1.6848,-0.4379,1.773
1.573741,7.1107,-6.1052,-2.2681,9.643
1.581343,5.1220,-4.9753,-2.3024,7.503
1.589661,3.0866,-2.9051,-0.0352,4.239
1.598008,-0.9106,0.0040,2.3053,2.479
1.609635,-0.3814,0.4240,2.0139,2.093
1.612647,-0.5593,1.0785,1.1177,1.651
1.620535,-2.5482,2.4667,0.4860,3.580
1.628418,-4.0767,3.7604,-0.2887,5.554
1.636375,-3.0670,3.9727,-0.9839,5.114
1.644534,-2.7766,3.4745,-0.6885,4.501
1.653084,-3.6503,2.3180,-0.8972,4.416
1.661292,-1.9942,0.7297,0.3487,2.152
1.669412,-1.0455,-0.4642,0.2312,1.167
1.676984,-0.4491,-1.1590,0.4572,1.324
1.688315,-0.0266,-1.7587,0.6179,1.864
1.693224,0.3453,-2.2004,0.6603,2.323
1.702200,0.5982,-2.4883,0.6719,2.646
1.708477,0.4960,-2.3407,0.8184,2.529
1.717422,0.2470,-1.6918,1.2560,2.122
1.724505,-0.0945,-0.9202,1.4394,1.711
1.733892,-0.5488,-0.1037,1.4797,1.582
1.740377,-0.5973,0.2554,1.1626,1.332
1.749023,-0.6005,0.1885,0.7382,0.970
1.756907,-0.7254,0.2318,0.3622,0.843
1.764100,-0.7055,0.0701,0.1347,0.722
1.773033,-0.7373,0.0602,-0.0588,0.742
1.780310,-0.8872,0.2283,-0.2303,0.945
1.788552,-0.9725,0.3586,-0.2880,1.076
1.796523,-0.9097,0.2547,-0.3039,0.992
1.805080,-0.8080,0.1319,-0.3358,0.885
1.812347,-0.7645,-0.0143,-0.4324,0.878
1.820896,-0.6731,-0.2630,-0.5692,0.920
1.828184,-0.5338,-0.5686,-0.6676,1.027
1.836162,-0.4142,-0.8594,-0.7082,1.188
1.844393,-0.3501,-1.0875,-0.7146,1.348
1.852201,-0.4281,-1.2434,-0.7062,1.493
1.860330,-0.4992,-1.3442,-0.6614,1.579
1.868922,-0.6349,-1.3497,-0.6325,1.620
1.876833,-0.6790,-1.3776,-0.5694,1.638
1.886977,-0.5827,-1.4785,-0.4269,1.646
1.892493,-0.2831,-1.5283,-0.1578,1.562
1.906922,0.0835,-1.7352,0.2600,1.757
1.908178,0.4510,-1.8213,0.6951,2.001
1.916047,0.7792,-1.8799,1.1378,2.331
1.924309,1.0939,-1.8051,1.7748,2.758
1.932403,1.3202,-1.6229,2.3051,3.113
1.940358,1.3282,-1.2014,2.9145,3.421
1.949832,1.2878,-0.6507,3.7095,3.980
1.956241,1.2105,-0.1385,4.2705,4.441
1.963858,1.1030,0.2010,4.5779,4.713
1.972392,0.8986,0.3894,4.6839,4.785
1.979958,0.7440,0.3955,4.4755,4.554
1.990264,0.5194,0.4229,4.0896,4.144
1.996682,0.2101,0.5003,3.6680,3.708
2.005222,0.0540,0.5893,3.2239,3.278
2.011718,-0.1189,0.6734,2.7994,2.882
2.019835,-0.2149,0.7457,2.3884,2.511
2.027740,-0.2977,0.7825,2.0027,2.171
2.035940,-0.3599,0.7891,1.6603,1.873
2.077424,-0.4347,0.7206,1.3412,1.583
2.078462,-0.6052,0.6534,1.4213,1.677
2.079182,-0.7344,0.6462,1.1939,1.543
2.079782,-1.0529,0.6127,1.0071,1.581
2.080519,-1.5030,0.4882,0.7964,1.770
2.086522,-1.8727,0.3441,0.7084,2.032
2.091762,-2.1708,0.2569,0.6928,2.293
2.102253,-2.3828,0.2671,0.4297,2.436
2.107716,-2.4397,0.2957,0.2482,2.470
2.116562,-2.4621,0.3067,0.1960,2.489
2.123996,-2.3621,0.2451,0.1679,2.381
2.131875,-2.2107,0.1378,0.1502,2.220
2.139614,-2.1733,0.0355,0.0543,2.174
2.148162,-2.1421,-0.0690,-0.0922,2.145
2.156362,-2.0654,-0.1899,-0.3063,2.097
2.164767,-1.5416,-0.5291,-0.3907,1.676
2.171658,-1.1795,-0.5667,-0.8644,1.568
2.179539,-0.9716,-0.7395,-1.0503,1.611
2.188393,-0.7948,-0.6864,-1.0146,1.460
2.196383,-0.2710,-0.7039,-0.8849,1.163
2.208622,0.0559,-0.4870,-1.0318,1.142
2.211528,0.3826,-0.3065,-1.2007,1.297
2.219666,0.7995,-0.1532,-1.4233,1.640
2.228883,1.2077,0.0657,-1.5933,2.000
2.236635,1.8291,0.1941,-1.8186,2.587
2.243724,2.3154,0.1588,-1.8423,2.963
2.252600,2.7852,-0.0505,-1.9513,3.401
2.260509,3.0970,-0.1142,-2.3539,3.892
2.267438,3.3493,-0.1411,-2.3224,4.078
2.277331,3.4413,-0.1398,-2.0824,4.025
2.285550,3.4384,-0.0743,-1.7950,3.879
2.291772,3.4061,0.0652,-1.3415,3.661
2.302646,3.2771,0.1288,-0.8482,3.388
2.308815,3.1616,0.1708,-0.4095,3.193
2.316458,2.9854,0.2165,-0.0817,2.994
2.323738,2.8436,0.2378,0.2021,2.861
2.332548,2.6779,0.2260,0.3955,2.716
2.340357,2.5368,0.1574,0.5427,2.599
2.349445,2.4816,0.0871,0.6249,2.561
2.356340,2.4357,0.0537,0.6807,2.530
2.364379,2.3829,0.0306,0.7166,2.488
2.371847,2.3298,0.1010,0.7285,2.443
2.380552,2.2131,0.1518,0.7582,2.344
2.387947,2.0263,0.2279,0.7949,2.189
2.396286,1.2012,0.2247,0.7226,1.420
2.406794,0.5842,0.2380,0.6519,0.907
2.412280,0.2445,0.3014,0.5111,0.642
2.420017,0.0102,0.3726,0.3483,0.510
2.427921,-0.1148,0.4451,0.2121,0.506
2.436300,-0.0547,0.4649,0.0940,0.477
2.443368,-0.0092,0.4446,-0.0875,0.453
2.451397,0.0060,0.4665,-0.1942,0.505
2.460059,-0.0445,0.4970,-0.3268,0.596
2.468174,-0.1019,0.5406,-0.5257,0.761
2.475472,-0.1423,0.4958,-0.6268,0.812
2.485276,-0.1841,0.4608,-0.7042,0.861
2.491535,-0.2085,0.3422,-0.7863,0.883
2.500078,-0.1555,0.2241,-0.7891,0.835
2.507495,-0.1434,0.0968,-0.8007,0.819
2.515291,-0.1662,0.0479,-0.7290,0.749
2.523372,-0.2140,0.0438,-0.6636,0.699
2.531256,-0.2000,0.0961,-0.5582,0.601
2.540049,-0.2059,0.1739,-0.5066,0.574
2.548039,-0.1416,0.2788,-0.3838,0.495
2.555540,-0.1241,0.2925,-0.2212,0.387
2.564094,-0.1801,0.2985,-0.1339,0.373
2.571369,-0.2886,0.2075,-0.0221,0.356
2.579392,-0.3549,0.1278,0.0812,0.386
2.587442,-0.4110,0.0625,0.0861,0.425
2.595474,-0.4709,-0.0331,0.0690,0.477
2.604523,-0.5561,-0.1023,0.1054,0.575
2.611326,-0.6416,-0.1353,0.1316,0.669
2.619294,-0.6746,-0.1604,0.1547,0.711
2.627259,-0.6964,-0.2322,0.1965,0.760
2.635605,-0.6624,-0.3067,0.2887,0.785
2.643394,-0.6394,-0.2993,0.3170,0.774
2.651441,-0.5832,-0.2492,0.3211,0.711
2.659768,-0.4717,-0.1632,0.2900,0.577
2.667467,-0.4271,-0.0821,0.1634,0.465
2.675810,-0.2681,-0.0235,0.0439,0.273
2.683363,-0.1493,0.0130,-0.0500,0.158
2.692075,0.0451,-0.0041,-0.1527,0.159
2.701962,0.1572,0.0215,-0.2987,0.338
2.707625,0.2153,-0.1447,-0.3491,0.435
2.716076,0.1415,-0.2917,-0.2501,0.409
2.723916,0.0591,-0.3599,-0.0828,0.374
2.731901,-0.0219,-0.3359,0.1020,0.352
2.739663,-0.1224,-0.1930,0.3026,0.379
2.747272,-0.2040,0.0091,0.4132,0.461
2.755454,-0.3537,0.2419,0.4866,0.648
2.763365,-0.4282,0.4095,0.6185,0.856
2.771832,-0.3497,0.5293,0.7449,0.978
2.779790,-0.1520,0.6087,0.7903,1.009
2.787964,0.0332,0.7415,0.6957,1.017
2.795734,0.2433,0.8853,0.4709,1.032
2.807800,0.4556,1.0254,0.1939,1.139
2.811366,0.6532,0.8784,-0.0747,1.097
2.819170,0.6349,0.6206,-0.3227,0.945
2.826957,0.4194,0.4215,-0.4538,0.748
2.835287,0.3367,0.3584,-0.5009,0.702
2.842991,0.3048,0.3837,-0.4966,0.698
2.852311,0.3680,0.5386,-0.3564,0.743
2.860224,0.5235,0.5198,-0.1590,0.755
2.868069,0.6349,0.4688,-0.0542,0.791
2.875941,0.5970,0.4454,-0.0346,0.746
2.883997,0.3518,0.5686,-0.0758,0.673
2.892065,-0.0172,0.7539,0.0024,0.754
2.902091,-0.1781,0.8529,0.2239,0.900
2.908084,-0.0088,0.7685,0.4616,0.897
2.923570,0.1957,0.6671,0.6611,0.959
2.924216,0.3781,0.6561,0.7648,1.076
2.931182,0.5466,0.7486,0.7359,1.184
2.938979,0.6567,0.8417,0.6419,1.246
2.948378,0.7835,0.8860,0.5012,1.285
2.955387,0.9088,0.9033,0.3746,1.335
2.963664,0.6547,0.9811,0.2940,1.216
2.971901,0.4504,1.0228,0.3325,1.166
2.979875,0.4067,0.9912,0.5113,1.187
2.987868,0.5237,0.7699,0.7622,1.203
2.995595,0.6443,0.6971,0.9445,1.339
3.007401,0.6947,0.7421,1.1271,1.518
3.011320,0.7249,0.9961,1.1009,1.652
3.018895,0.7458,1.2799,0.9133,1.740
3.027626,0.7823,1.4163,0.5624,1.713
3.034756,0.6612,1.2588,0.2022,1.436
3.042728,0.2808,0.9311,-0.0845,0.976
3.051732,-0.2677,0.4324,-0.3393,0.611
3.058842,-0.9448,-0.0518,-0.4906,1.066
3.066754,-1.2738,-0.8546,-0.2136,1.549
3.074658,-1.0899,-1.9042,0.1910,2.202
3.083381,-0.9263,-2.6898,0.4406,2.879
3.091310,-1.0422,-3.2494,0.5226,3.452
3.101551,-1.3436,-3.4413,0.4155,3.718
3.106987,-1.9589,-3.1364,0.1187,3.700
3.118419,-2.7739,-2.3091,-0.1680,3.613
3.122746,-3.2645,-1.3233,-0.4659,3.553
3.130539,-2.8657,-0.4330,-0.8148,3.011
3.138701,-2.1740,0.2851,-0.9406,2.386
3.146695,-1.9250,0.9598,-0.8148,2.300
3.154784,-2.0918,1.5724,-0.7674,2.727
3.164371,-2.3739,2.3000,-0.8597,3.415
3.170861,-2.5340,3.1856,-1.0835,4.212
3.179412,-2.7708,3.9433,-1.2358,4.975
3.186993,-2.9582,4.0695,-1.0233,5.134
3.195412,-2.8239,3.3774,-0.2909,4.412
3.211022,-2.3144,1.8892,0.6251,3.052
3.212002,-1.9967,0.5995,1.2651,2.439
3.218787,-1.8301,-0.0790,1.5448,2.396
3.226707,-1.9397,0.1054,1.4985,2.453
3.234702,-2.1427,0.5972,1.3047,2.579
3.242773,-2.2239,1.2049,1.0729,2.747
3.250942,-2.1787,1.6170,0.8446,2.842
3.259371,-2.0357,1.6800,0.5780,2.702
3.267182,-1.8144,1.5445,0.2753,2.399
3.274593,-1.3894,1.2176,0.0971,1.850
3.282876,-0.7995,0.8716,-0.1953,1.199
3.291115,-0.0615,0.8152,-0.3344,0.883
3.301484,0.6552,1.3143,-0.6178,1.593
3.307240,1.6071,2.4000,-1.0163,3.062
3.324247,2.2463,3.4453,-1.3231,4.320
3.325429,2.8164,4.6229,-1.2014,5.545
3.332289,3.7902,6.1877,-0.4108,7.268
3.338715,4.0351,7.4391,-1.0428,8.527
3.347196,2.9529,6.9486,-2.2784,7.886
3.354768,1.0364,5.1090,-2.9508,5.990
3.363146,-0.6549,2.9687,-3.2547,4.454
3.370929,-2.2598,0.6519,-3.6172,4.315
3.379589,-4.1387,-1.3171,-3.8153,5.781
3.386976,-5.2231,-2.7860,-2.9405,6.610
3.395235,-5.9155,-3.1592,-2.6686,7.218
3.408369,-6.5353,-2.8971,-2.6053,7.609
3.410668,-6.3484,-1.7807,-2.6543,7.108
3.418499,-5.7629,-0.2651,-2.6499,6.348
3.426423,-4.7528,1.0652,-2.2537,5.367
3.434490,-4.4505,1.4179,-1.5324,4.916
3.444378,-5.1636,0.3737,-0.3796,5.191
3.451343,-5.7342,-1.3218,0.5672,5.912
3.459246,-5.8813,-3.1504,1.1500,6.770
3.467245,-5.3752,-4.7085,1.6987,7.345
3.475398,-4.6432,-5.2342,1.5456,7.166
3.483441,-3.5919,-5.0834,2.4860,6.702
3.491216,-2.3005,-3.7978,2.6445,5.168
3.501063,-1.2378,-2.3098,3.3725,4.271
3.506720,-0.4722,-1.7834,4.3313,4.708
3.517247,-0.3266,-2.3246,4.4737,5.052
3.522438,0.1769,-3.9912,4.5448,6.051
3.530210,-0.3373,-5.5873,4.0773,6.925
3.538481,-0.9771,-6.3031,3.6013,7.325
3.546442,-1.2605,-5.8129,3.0510,6.685
3.555142,-1.2609,-4.4753,2.7775,5.416
3.563141,-1.2413,-2.9435,2.2771,3.923
3.571204,-1.3372,-2.3041,1.5483,3.081
3.579251,-1.4956,-2.7889,0.6238,3.226
3.586818,-1.6495,-3.9067,-0.3249,4.253
3.595034,-1.9066,-4.5407,-1.1763,5.063
3.602344,-2.0799,-4.0394,-1.8420,4.903
3.610375,-1.9802,-2.5468,-2.3100,3.968
3.619713,-1.7545,-1.0722,-2.5451,3.272
3.626405,-1.5512,-1.2640,-2.4831,3.189
3.634509,-1.0082,-3.0867,-2.2813,3.968
3.642505,-0.4881,-4.6774,-2.0940,5.148
3.651229,0.0985,-4.8002,-1.7367,5.106
3.658479,0.8830,-3.0262,-0.4894,3.190
3.667031,1.5250,-0.2866,0.8845,1.786
3.674114,1.9259,1.7976,1.7325,3.153
3.683040,1.3644,2.1702,1.6513,3.049
3.690563,-0.3264,0.8746,1.4162,1.696
3.701014,-2.5195,-0.9641,0.5511,2.753
3.706388,-3.5498,-1.8474,-0.0577,4.002
3.723155,-3.9230,-1.9695,-0.5187,4.420
3.725226,-3.5191,-1.1415,-0.4368,3.725
3.731312,-2.7347,0.6991,-0.2952,2.838
3.738872,-1.6964,2.4058,-0.0730,2.945
3.746581,-1.5758,3.2562,-0.3453,3.634
3.754459,-2.4032,3.6053,-0.9320,4.432
3.762801,-3.7532,3.7998,-1.3463,5.508
3.771024,-4.4278,3.4079,-1.5296,5.793
3.778998,-4.0195,2.0865,-1.4144,4.745
3.786475,-3.1586,0.4583,-1.4696,3.514
3.795116,-2.1506,-0.5378,-1.4331,2.640
3.802509,-1.5552,-1.2799,-1.2663,2.379
3.810874,-1.4757,-2.2278,-1.2302,2.942
3.828913,-1.5205,-3.1903,-1.2851,3.760
3.831038,-1.7581,-3.5308,-1.2343,4.133
3.834396,-1.9481,-2.1198,-0.8257,2.995
3.841840,-1.6503,0.2403,0.1689,1.676
3.850906,-1.2702,1.1290,1.0301,1.987
3.858190,-0.8253,-0.0163,1.9939,2.158
3.866421,-0.4011,-2.9384,2.8048,4.082
3.874865,0.1120,-5.0576,2.9488,5.856
3.882296,0.5124,-5.5761,2.9711,6.339
3.890028,0.5473,-4.5010,2.8874,5.376
3.899805,0.6694,-2.2350,2.6551,3.535
3.906376,0.9222,-0.3297,2.3736,2.568
3.919500,0.3482,0.7074,1.5812,1.767
3.922919,-0.1683,0.8927,0.7098,1.153
3.930521,-1.0726,0.5248,-0.0178,1.194
3.938797,-2.1392,-0.4616,-0.5118,2.247
3.946815,-2.3550,-1.4662,-0.4895,2.817
3.954211,-2.1892,-1.9237,-0.5416,2.964
3.962632,-1.9379,-1.2177,-0.7028,2.394
3.969935,-1.5729,0.6093,-0.5238,1.766
3.978728,-1.2124,2.5067,-0.5013,2.829
3.987275,-1.3619,3.1266,-0.4810,3.444
3.994275,-2.0326,2.2416,-0.5382,3.073
4.002885,-2.1130,0.4304,-0.7803,2.293
4.010093,-2.0780,-1.0190,-1.1623,2.590
4.026633,-2.1776,-0.4148,-1.6768,2.780
4.028574,-1.5809,2.0624,-1.7197,3.116
4.034379,-1.0119,4.1705,-1.6349,4.592
4.042109,-0.9152,4.3282,-1.2164,4.588
4.049789,-0.9165,2.6554,-0.3769,2.834
4.057916,-0.3243,-0.3101,0.7850,0.904
4.066487,0.0677,-2.3916,1.5312,2.841
4.074434,0.2389,-3.1972,2.1446,3.857
4.082140,0.3070,-2.9561,2.2151,3.707
4.090536,0.3755,-1.8742,2.0533,2.805
4.100540,0.1605,-0.2226,1.6198,1.643
4.105727,-0.1252,1.1621,1.1644,1.650
4.126281,-0.9742,2.2219,0.8845,2.582
4.127397,-1.8119,2.2378,0.7793,2.983
4.134146,-2.2974,1.3701,0.6064,2.743
4.137811,-2.3106,0.4326,0.3165,2.372
4.146727,-2.0736,-0.2514,0.2330,2.102
4.153666,-1.6658,-0.7489,0.2624,1.845
4.162668,-1.3198,-1.0856,0.3120,1.737
4.170584,-0.9988,-1.5196,0.2325,1.833
4.178531,-0.7916,-1.5533,-0.0730,1.745
4.186544,-0.7785,-1.4287,-0.3137,1.657
4.194196,-0.8953,-1.1992,-0.3364,1.534
4.202052,-1.1455,-1.1910,-0.2482,1.671
4.210134,-1.3393,-1.4667,0.0203,1.986
4.220559,-1.3576,-1.9737,0.3289,2.418
4.225795,-1.2105,-2.4842,0.6297,2.834
4.234154,-0.9462,-2.8347,0.8632,3.111
4.241711,-0.6774,-2.8953,0.9547,3.123
4.249811,-0.4521,-2.5774,0.9007,2.767
4.257546,-0.2114,-1.8641,0.8636,2.065
4.265600,-0.1372,-0.7651,0.8627,1.161
4.274347,-0.1005,0.3125,1.1477,1.194
4.282383,-0.1911,1.0840,0.9510,1.455
4.290333,-0.3058,1.1591,0.7222,1.400
4.300788,-0.5179,0.9423,0.4507,1.166
4.305554,-0.6919,0.6751,0.3145,1.017
4.321868,-0.8581,0.7095,0.3553,1.169
4.322820,-0.9036,0.9858,0.5265,1.437
4.329809,-1.0407,1.4442,0.5901,1.875
4.337672,-0.8733,1.6324,0.4561,1.907
